"arquivo_climatico","uf","municipio","lat","long","alt","populacao","zb","tbsm","tbum","cdh","cdd10","cdd24","hdd18"
"BRA_ES_Alegre.868280_INMET","es","alegre",-20.76,-41.53,138,32205,5,23.95135845,18.0557762557078,43921,5092.2,417,5.2
"BRA_ES_Alfredo.Chaves.868290_INMET","es","alfredo_chaves",-20.64,-40.75,35,14973,8,23.58060502,18.9627283105023,47324,4956.9,314.7,1.1
"BRA_ES_Linhares.868050_INMET","es","linhares",-19.39,-40.07,40,163662,8,24.27697489,20.0057534246575,54958,5211.1,415.9,0
"BRA_ES_Nova.Venecia.867850_INMET","es","nova_venecia",-18.7,-40.39,154,50294,8,24.2559589,19.58149543379,52289,5203.4,395.8,0
"BRA_ES_Presidente.Kennedy.868530_INMET","es","presidente_kennedy",-21.1,-41.04,80,11309,8,23.96765982,19.708801369863,52283,5098.2,375.2,0
"BRA_ES_Santa.Teresa.868040_INMET","es","santa_teresa",-19.99,-40.58,998,23735,8,18.58151826,16.6634360730594,21458,3132.3,0,263.7
"BRA_ES_Sao.Mateus.867860_INMET","es","sao_mateus",-18.72,-39.86,39,124575,8,23.864121,20.1946347031963,54837,5060.4,349.5,0
"BRA_ES_Vitoria.868300_INMET","es","vitoria",-20.32,-40.34,9,355875,8,24.39726027,19.7951369863014,54061,5255,462.4,0
"BRA_GO_Alto.Paraiso.de.Goias.866910_INMET","go","alto_paraiso_de_goias",-14.13,-47.51,1260,7391,6,20.5861758,13.6402168949772,17064,3864,10.1,15.9
"BRA_GO_Aragarcas.833740_INMET","go","aragarcas",-15.9,-52.25,347,19583,6,25.79366438,19.0095433789954,53747,5764.7,710.5,0
"BRA_GO_Caiaponia.867300_INMET","go","caiaponia",-16.96,-51.81,737,18148,6,23.25442922,15.4258675799087,30910,4837.9,158.6,0
"BRA_GO_Catalao.867770_INMET","go","catalao",-18.16,-47.93,890,98737,6,22.50558219,14.4538242009132,24270,4564.5,123,3.3
"BRA_GO_Cristalina.867370_INMET","go","cristalina",-16.79,-47.61,1202,53300,4,20.72353881,15.0040525114155,19916,3914.1,8.6,32
"BRA_GO_Goianesia.867130_INMET","go","goianesia",-15.32,-49.12,667,65767,6,24.53503425,15.1326255707763,32696,5305.3,351.7,0
"BRA_GO_Goiania.834230_INMET","go","goiania",-15.37,-48.78,770,1430697,6,23.22976027,15.5629452054795,31081,4828.9,174.6,5.4
"BRA_GO_Goias.867120_INMET","go","goias",-15.93,-50.14,512,24439,7,24.98077626,18.2814269406393,47668,5468,449.3,0
"BRA_GO_Itapaci.866890_INMET","go","itapaci",-14.95,-49.55,522,20945,6,23.90124429,16.8123059360731,38962,5074,278.1,0
"BRA_GO_Itumbiara.867740_INMET","go","itumbiara",-18.41,-49.19,488,100548,6,23.91726027,18.1163812785388,44156,5079.8,271.8,10
"BRA_GO_Jatai.867520_INMET","go","jatai",-17.88,-51.71,582,95998,6,22.41531963,16.068595890411,32342,4531.6,98.5,11.7
"BRA_GO_Luziania.867360_INMET","go","luziania",-16.25,-47.95,958,194039,4,21.98347032,15.8525684931507,27017,4374,38.3,5.3
"BRA_GO_Mineiros.867510_INMET","go","mineiros",-17.57,-52.6,706,60464,6,22.37296804,17.3785388127854,37162,4516.1,69.9,25
"BRA_GO_Monte.Alegre.de.Goias.866700_INMET","go","monte_alegre_de_goias",-13.5,-46.89,1253,8319,7,24.96426941,17.6721347031963,43252,5462,457,0
"BRA_GO_Morrinhos.867550_INMET","go","morrinhos",-17.73,-49.1,771,44607,6,22.37742009,15.2821917808219,28617,4517.8,60.9,14.4
"BRA_GO_Niquelandia.866900_INMET","go","niquelandia",-14.47,-48.46,583,45243,6,24.31003425,15.8383675799087,33984,5223.2,290.4,0
